script	cell	pad	frac	cut	i	gold	doc_tokens	needle_start	needle_end	needle_tokens	realized_frac	delta_vs_label
baseline	limit=1024	7000	end	7000	3	billing	7015	7001	7015	14	0.998	1
baseline	limit=1024	7000	end	7000	4	technical	7017	7001	7017	16	0.9977	1
baseline	limit=1024	7000	end	7000	5	sales	7014	7001	7014	13	0.9981	1
baseline	limit=1024	7000	end	7000	6	billing	7020	7001	7020	19	0.9973	1
baseline	limit=1024	7000	end	7000	7	technical	7012	7001	7012	11	0.9984	1
baseline	limit=1024	7000	end	7000	8	sales	7015	7001	7015	14	0.998	1
baseline	limit=1024	7000	end	7000	9	billing	7022	7001	7022	21	0.997	1
baseline	limit=1024	7000	end	7000	10	technical	7013	7001	7013	12	0.9983	1
baseline	limit=1024	7000	end	7000	11	billing	7021	7001	7021	20	0.9972	1
baseline	limit=1024	7000	end	7000	12	technical	7014	7001	7014	13	0.9981	1
baseline	limit=1024	7000	end	7000	13	billing	7015	7001	7015	14	0.998	1
baseline	limit=1024	7000	end	7000	14	technical	7015	7001	7015	14	0.998	1
baseline	limit=1024	7000	end	7000	15	sales	7012	7001	7012	11	0.9984	1
baseline	limit=1024	7000	end	7000	16	billing	7025	7001	7025	24	0.9966	1
baseline	limit=1024	7000	end	7000	17	technical	7016	7001	7016	15	0.9979	1
baseline	limit=1024	7000	end	7000	18	billing	7016	7001	7016	15	0.9979	1
baseline	limit=1024	7000	end	7000	19	billing	7024	7001	7024	23	0.9967	1
baseline	limit=8192	0	end	0	0	billing	18	1	18	17	0.0556	1
baseline	limit=8192	0	end	0	1	technical	14	1	14	13	0.0714	1
baseline	limit=8192	0	end	0	2	sales	15	1	15	14	0.0667	1
baseline	limit=8192	0	end	0	3	billing	15	1	15	14	0.0667	1
baseline	limit=8192	0	end	0	4	technical	17	1	17	16	0.0588	1
baseline	limit=8192	0	end	0	5	sales	14	1	14	13	0.0714	1
baseline	limit=8192	0	end	0	6	billing	20	1	20	19	0.05	1
baseline	limit=8192	0	end	0	7	technical	12	1	12	11	0.0833	1
baseline	limit=8192	0	end	0	8	sales	15	1	15	14	0.0667	1
baseline	limit=8192	0	end	0	9	billing	22	1	22	21	0.0455	1
baseline	limit=8192	0	end	0	10	technical	13	1	13	12	0.0769	1
baseline	limit=8192	0	end	0	11	billing	21	1	21	20	0.0476	1
baseline	limit=8192	0	end	0	12	technical	14	1	14	13	0.0714	1
baseline	limit=8192	0	end	0	13	billing	15	1	15	14	0.0667	1
baseline	limit=8192	0	end	0	14	technical	15	1	15	14	0.0667	1
baseline	limit=8192	0	end	0	15	sales	12	1	12	11	0.0833	1
baseline	limit=8192	0	end	0	16	billing	25	1	25	24	0.04	1
baseline	limit=8192	0	end	0	17	technical	16	1	16	15	0.0625	1
baseline	limit=8192	0	end	0	18	billing	16	1	16	15	0.0625	1
baseline	limit=8192	0	end	0	19	billing	24	1	24	23	0.0417	1
baseline	limit=8192	1000	end	1000	0	billing	1018	1001	1018	17	0.9833	1
baseline	limit=8192	1000	end	1000	1	technical	1014	1001	1014	13	0.9872	1
baseline	limit=8192	1000	end	1000	2	sales	1015	1001	1015	14	0.9862	1
baseline	limit=8192	1000	end	1000	3	billing	1015	1001	1015	14	0.9862	1
baseline	limit=8192	1000	end	1000	4	technical	1017	1001	1017	16	0.9843	1
baseline	limit=8192	1000	end	1000	5	sales	1014	1001	1014	13	0.9872	1
baseline	limit=8192	1000	end	1000	6	billing	1020	1001	1020	19	0.9814	1
baseline	limit=8192	1000	end	1000	7	technical	1012	1001	1012	11	0.9891	1
baseline	limit=8192	1000	end	1000	8	sales	1015	1001	1015	14	0.9862	1
baseline	limit=8192	1000	end	1000	9	billing	1022	1001	1022	21	0.9795	1
baseline	limit=8192	1000	end	1000	10	technical	1013	1001	1013	12	0.9882	1
baseline	limit=8192	1000	end	1000	11	billing	1021	1001	1021	20	0.9804	1
baseline	limit=8192	1000	end	1000	12	technical	1014	1001	1014	13	0.9872	1
baseline	limit=8192	1000	end	1000	13	billing	1015	1001	1015	14	0.9862	1
baseline	limit=8192	1000	end	1000	14	technical	1015	1001	1015	14	0.9862	1
baseline	limit=8192	1000	end	1000	15	sales	1012	1001	1012	11	0.9891	1
baseline	limit=8192	1000	end	1000	16	billing	1025	1001	1025	24	0.9766	1
baseline	limit=8192	1000	end	1000	17	technical	1016	1001	1016	15	0.9852	1
baseline	limit=8192	1000	end	1000	18	billing	1016	1001	1016	15	0.9852	1
baseline	limit=8192	1000	end	1000	19	billing	1024	1001	1024	23	0.9775	1
baseline	limit=8192	2000	end	2000	0	billing	2018	2001	2018	17	0.9916	1
baseline	limit=8192	2000	end	2000	1	technical	2014	2001	2014	13	0.9935	1
baseline	limit=8192	2000	end	2000	2	sales	2015	2001	2015	14	0.9931	1
baseline	limit=8192	2000	end	2000	3	billing	2015	2001	2015	14	0.9931	1
baseline	limit=8192	2000	end	2000	4	technical	2017	2001	2017	16	0.9921	1
baseline	limit=8192	2000	end	2000	5	sales	2014	2001	2014	13	0.9935	1
baseline	limit=8192	2000	end	2000	6	billing	2020	2001	2020	19	0.9906	1
baseline	limit=8192	2000	end	2000	7	technical	2012	2001	2012	11	0.9945	1
baseline	limit=8192	2000	end	2000	8	sales	2015	2001	2015	14	0.9931	1
baseline	limit=8192	2000	end	2000	9	billing	2022	2001	2022	21	0.9896	1
baseline	limit=8192	2000	end	2000	10	technical	2013	2001	2013	12	0.994	1
baseline	limit=8192	2000	end	2000	11	billing	2021	2001	2021	20	0.9901	1
baseline	limit=8192	2000	end	2000	12	technical	2014	2001	2014	13	0.9935	1
baseline	limit=8192	2000	end	2000	13	billing	2015	2001	2015	14	0.9931	1
baseline	limit=8192	2000	end	2000	14	technical	2015	2001	2015	14	0.9931	1
baseline	limit=8192	2000	end	2000	15	sales	2012	2001	2012	11	0.9945	1
baseline	limit=8192	2000	end	2000	16	billing	2025	2001	2025	24	0.9881	1
baseline	limit=8192	2000	end	2000	17	technical	2016	2001	2016	15	0.9926	1
baseline	limit=8192	2000	end	2000	18	billing	2016	2001	2016	15	0.9926	1
baseline	limit=8192	2000	end	2000	19	billing	2024	2001	2024	23	0.9886	1
baseline	limit=8192	4000	end	4000	0	billing	4018	4001	4018	17	0.9958	1
baseline	limit=8192	4000	end	4000	1	technical	4014	4001	4014	13	0.9968	1
baseline	limit=8192	4000	end	4000	2	sales	4015	4001	4015	14	0.9965	1
baseline	limit=8192	4000	end	4000	3	billing	4015	4001	4015	14	0.9965	1
baseline	limit=8192	4000	end	4000	4	technical	4017	4001	4017	16	0.996	1
baseline	limit=8192	4000	end	4000	5	sales	4014	4001	4014	13	0.9968	1
baseline	limit=8192	4000	end	4000	6	billing	4020	4001	4020	19	0.9953	1
baseline	limit=8192	4000	end	4000	7	technical	4012	4001	4012	11	0.9973	1
baseline	limit=8192	4000	end	4000	8	sales	4015	4001	4015	14	0.9965	1
baseline	limit=8192	4000	end	4000	9	billing	4022	4001	4022	21	0.9948	1
baseline	limit=8192	4000	end	4000	10	technical	4013	4001	4013	12	0.997	1
baseline	limit=8192	4000	end	4000	11	billing	4021	4001	4021	20	0.995	1
baseline	limit=8192	4000	end	4000	12	technical	4014	4001	4014	13	0.9968	1
baseline	limit=8192	4000	end	4000	13	billing	4015	4001	4015	14	0.9965	1
baseline	limit=8192	4000	end	4000	14	technical	4015	4001	4015	14	0.9965	1
baseline	limit=8192	4000	end	4000	15	sales	4012	4001	4012	11	0.9973	1
baseline	limit=8192	4000	end	4000	16	billing	4025	4001	4025	24	0.994	1
baseline	limit=8192	4000	end	4000	17	technical	4016	4001	4016	15	0.9963	1
baseline	limit=8192	4000	end	4000	18	billing	4016	4001	4016	15	0.9963	1
baseline	limit=8192	4000	end	4000	19	billing	4024	4001	4024	23	0.9943	1
baseline	limit=8192	7000	end	7000	0	billing	7018	7001	7018	17	0.9976	1
baseline	limit=8192	7000	end	7000	1	technical	7014	7001	7014	13	0.9981	1
baseline	limit=8192	7000	end	7000	2	sales	7015	7001	7015	14	0.998	1
baseline	limit=8192	7000	end	7000	3	billing	7015	7001	7015	14	0.998	1
baseline	limit=8192	7000	end	7000	4	technical	7017	7001	7017	16	0.9977	1
baseline	limit=8192	7000	end	7000	5	sales	7014	7001	7014	13	0.9981	1
baseline	limit=8192	7000	end	7000	6	billing	7020	7001	7020	19	0.9973	1
baseline	limit=8192	7000	end	7000	7	technical	7012	7001	7012	11	0.9984	1
baseline	limit=8192	7000	end	7000	8	sales	7015	7001	7015	14	0.998	1
baseline	limit=8192	7000	end	7000	9	billing	7022	7001	7022	21	0.997	1
baseline	limit=8192	7000	end	7000	10	technical	7013	7001	7013	12	0.9983	1
baseline	limit=8192	7000	end	7000	11	billing	7021	7001	7021	20	0.9972	1
baseline	limit=8192	7000	end	7000	12	technical	7014	7001	7014	13	0.9981	1
baseline	limit=8192	7000	end	7000	13	billing	7015	7001	7015	14	0.998	1
baseline	limit=8192	7000	end	7000	14	technical	7015	7001	7015	14	0.998	1
baseline	limit=8192	7000	end	7000	15	sales	7012	7001	7012	11	0.9984	1
baseline	limit=8192	7000	end	7000	16	billing	7025	7001	7025	24	0.9966	1
baseline	limit=8192	7000	end	7000	17	technical	7016	7001	7016	15	0.9979	1
baseline	limit=8192	7000	end	7000	18	billing	7016	7001	7016	15	0.9979	1
baseline	limit=8192	7000	end	7000	19	billing	7024	7001	7024	23	0.9967	1
diagnostic	A_dtype	4000	1.0	4000	0	billing	4018	4000	4018	18	0.9955	0
diagnostic	A_dtype	4000	1.0	4000	1	technical	4014	4000	4014	14	0.9965	0
diagnostic	A_dtype	4000	1.0	4000	2	sales	4015	4000	4015	15	0.9963	0
diagnostic	A_dtype	4000	1.0	4000	3	billing	4015	4000	4015	15	0.9963	0
diagnostic	A_dtype	4000	1.0	4000	4	technical	4017	4000	4017	17	0.9958	0
diagnostic	A_dtype	4000	1.0	4000	5	sales	4014	4000	4014	14	0.9965	0
diagnostic	A_dtype	4000	1.0	4000	6	billing	4020	4000	4020	20	0.995	0
diagnostic	A_dtype	4000	1.0	4000	7	technical	4012	4000	4012	12	0.997	0
diagnostic	A_dtype	4000	1.0	4000	8	sales	4015	4000	4015	15	0.9963	0
diagnostic	A_dtype	4000	1.0	4000	9	billing	4022	4000	4022	22	0.9945	0
diagnostic	A_dtype	4000	1.0	4000	10	technical	4013	4000	4013	13	0.9968	0
diagnostic	A_dtype	4000	1.0	4000	11	billing	4021	4000	4021	21	0.9948	0
diagnostic	A_dtype	4000	1.0	4000	12	technical	4014	4000	4014	14	0.9965	0
diagnostic	A_dtype	4000	1.0	4000	13	billing	4015	4000	4015	15	0.9963	0
diagnostic	A_dtype	4000	1.0	4000	14	technical	4015	4000	4015	15	0.9963	0
diagnostic	A_dtype	4000	1.0	4000	15	sales	4012	4000	4012	12	0.997	0
diagnostic	A_dtype	4000	1.0	4000	16	billing	4025	4000	4025	25	0.9938	0
diagnostic	A_dtype	4000	1.0	4000	17	technical	4016	4000	4016	16	0.996	0
diagnostic	A_dtype	4000	1.0	4000	18	billing	4016	4000	4016	16	0.996	0
diagnostic	A_dtype	4000	1.0	4000	19	billing	4024	4000	4024	24	0.994	0
diagnostic	B_position	4000	0.0	0	0	billing	4018	0	18	18	0.0	0
diagnostic	B_position	4000	0.0	0	1	technical	4014	0	14	14	0.0	0
diagnostic	B_position	4000	0.0	0	2	sales	4015	0	15	15	0.0	0
diagnostic	B_position	4000	0.0	0	3	billing	4015	0	15	15	0.0	0
diagnostic	B_position	4000	0.0	0	4	technical	4017	0	17	17	0.0	0
diagnostic	B_position	4000	0.0	0	5	sales	4014	0	14	14	0.0	0
diagnostic	B_position	4000	0.0	0	6	billing	4020	0	20	20	0.0	0
diagnostic	B_position	4000	0.0	0	7	technical	4012	0	12	12	0.0	0
diagnostic	B_position	4000	0.0	0	8	sales	4015	0	15	15	0.0	0
diagnostic	B_position	4000	0.0	0	9	billing	4022	0	22	22	0.0	0
diagnostic	B_position	4000	0.0	0	10	technical	4013	0	13	13	0.0	0
diagnostic	B_position	4000	0.0	0	11	billing	4021	0	21	21	0.0	0
diagnostic	B_position	4000	0.0	0	12	technical	4014	0	14	14	0.0	0
diagnostic	B_position	4000	0.0	0	13	billing	4015	0	15	15	0.0	0
diagnostic	B_position	4000	0.0	0	14	technical	4015	0	15	15	0.0	0
diagnostic	B_position	4000	0.0	0	15	sales	4012	0	12	12	0.0	0
diagnostic	B_position	4000	0.0	0	16	billing	4025	0	25	25	0.0	0
diagnostic	B_position	4000	0.0	0	17	technical	4016	0	16	16	0.0	0
diagnostic	B_position	4000	0.0	0	18	billing	4016	0	16	16	0.0	0
diagnostic	B_position	4000	0.0	0	19	billing	4024	0	24	24	0.0	0
diagnostic	B_position	4000	0.25	1000	0	billing	4018	1000	1018	18	0.2489	0
diagnostic	B_position	4000	0.25	1000	1	technical	4014	1000	1014	14	0.2491	0
diagnostic	B_position	4000	0.25	1000	2	sales	4015	1000	1015	15	0.2491	0
diagnostic	B_position	4000	0.25	1000	3	billing	4015	1000	1015	15	0.2491	0
diagnostic	B_position	4000	0.25	1000	4	technical	4017	1000	1017	17	0.2489	0
diagnostic	B_position	4000	0.25	1000	5	sales	4014	1000	1014	14	0.2491	0
diagnostic	B_position	4000	0.25	1000	6	billing	4020	1000	1020	20	0.2488	0
diagnostic	B_position	4000	0.25	1000	7	technical	4012	1000	1012	12	0.2493	0
diagnostic	B_position	4000	0.25	1000	8	sales	4015	1000	1015	15	0.2491	0
diagnostic	B_position	4000	0.25	1000	9	billing	4022	1000	1022	22	0.2486	0
diagnostic	B_position	4000	0.25	1000	10	technical	4013	1000	1013	13	0.2492	0
diagnostic	B_position	4000	0.25	1000	11	billing	4021	1000	1021	21	0.2487	0
diagnostic	B_position	4000	0.25	1000	12	technical	4014	1000	1014	14	0.2491	0
diagnostic	B_position	4000	0.25	1000	13	billing	4015	1000	1015	15	0.2491	0
diagnostic	B_position	4000	0.25	1000	14	technical	4015	1000	1015	15	0.2491	0
diagnostic	B_position	4000	0.25	1000	15	sales	4012	1000	1012	12	0.2493	0
diagnostic	B_position	4000	0.25	1000	16	billing	4025	1000	1025	25	0.2484	0
diagnostic	B_position	4000	0.25	1000	17	technical	4016	1000	1016	16	0.249	0
diagnostic	B_position	4000	0.25	1000	18	billing	4016	1000	1016	16	0.249	0
diagnostic	B_position	4000	0.25	1000	19	billing	4024	1000	1024	24	0.2485	0
diagnostic	B_position	4000	0.5	2000	0	billing	4017	2000	2017	17	0.4979	0
diagnostic	B_position	4000	0.5	2000	1	technical	4013	2000	2013	13	0.4984	0
diagnostic	B_position	4000	0.5	2000	2	sales	4014	2000	2014	14	0.4983	0
diagnostic	B_position	4000	0.5	2000	3	billing	4014	2000	2014	14	0.4983	0
diagnostic	B_position	4000	0.5	2000	4	technical	4016	2000	2016	16	0.498	0
diagnostic	B_position	4000	0.5	2000	5	sales	4013	2000	2013	13	0.4984	0
diagnostic	B_position	4000	0.5	2000	6	billing	4019	2000	2019	19	0.4976	0
diagnostic	B_position	4000	0.5	2000	7	technical	4011	2000	2011	11	0.4986	0
diagnostic	B_position	4000	0.5	2000	8	sales	4014	2000	2014	14	0.4983	0
diagnostic	B_position	4000	0.5	2000	9	billing	4021	2000	2021	21	0.4974	0
diagnostic	B_position	4000	0.5	2000	10	technical	4012	2000	2012	12	0.4985	0
diagnostic	B_position	4000	0.5	2000	11	billing	4020	2000	2020	20	0.4975	0
diagnostic	B_position	4000	0.5	2000	12	technical	4013	2000	2013	13	0.4984	0
diagnostic	B_position	4000	0.5	2000	13	billing	4014	2000	2014	14	0.4983	0
diagnostic	B_position	4000	0.5	2000	14	technical	4014	2000	2014	14	0.4983	0
diagnostic	B_position	4000	0.5	2000	15	sales	4011	2000	2011	11	0.4986	0
diagnostic	B_position	4000	0.5	2000	16	billing	4025	2000	2025	25	0.4969	0
diagnostic	B_position	4000	0.5	2000	17	technical	4016	2000	2016	16	0.498	0
diagnostic	B_position	4000	0.5	2000	18	billing	4016	2000	2016	16	0.498	0
diagnostic	B_position	4000	0.5	2000	19	billing	4023	2000	2023	23	0.4971	0
diagnostic	B_position	4000	0.75	3000	0	billing	4018	3000	3018	18	0.7466	0
diagnostic	B_position	4000	0.75	3000	1	technical	4014	3000	3014	14	0.7474	0
diagnostic	B_position	4000	0.75	3000	2	sales	4015	3000	3015	15	0.7472	0
diagnostic	B_position	4000	0.75	3000	3	billing	4015	3000	3015	15	0.7472	0
diagnostic	B_position	4000	0.75	3000	4	technical	4017	3000	3017	17	0.7468	0
diagnostic	B_position	4000	0.75	3000	5	sales	4014	3000	3014	14	0.7474	0
diagnostic	B_position	4000	0.75	3000	6	billing	4020	3000	3020	20	0.7463	0
diagnostic	B_position	4000	0.75	3000	7	technical	4012	3000	3012	12	0.7478	0
diagnostic	B_position	4000	0.75	3000	8	sales	4015	3000	3015	15	0.7472	0
diagnostic	B_position	4000	0.75	3000	9	billing	4022	3000	3022	22	0.7459	0
diagnostic	B_position	4000	0.75	3000	10	technical	4013	3000	3013	13	0.7476	0
diagnostic	B_position	4000	0.75	3000	11	billing	4021	3000	3021	21	0.7461	0
diagnostic	B_position	4000	0.75	3000	12	technical	4014	3000	3014	14	0.7474	0
diagnostic	B_position	4000	0.75	3000	13	billing	4015	3000	3015	15	0.7472	0
diagnostic	B_position	4000	0.75	3000	14	technical	4015	3000	3015	15	0.7472	0
diagnostic	B_position	4000	0.75	3000	15	sales	4012	3000	3012	12	0.7478	0
diagnostic	B_position	4000	0.75	3000	16	billing	4025	3000	3025	25	0.7453	0
diagnostic	B_position	4000	0.75	3000	17	technical	4016	3000	3016	16	0.747	0
diagnostic	B_position	4000	0.75	3000	18	billing	4016	3000	3016	16	0.747	0
diagnostic	B_position	4000	0.75	3000	19	billing	4024	3000	3024	24	0.7455	0
diagnostic	B_position	4000	1.0	4000	0	billing	4018	4000	4018	18	0.9955	0
diagnostic	B_position	4000	1.0	4000	1	technical	4014	4000	4014	14	0.9965	0
diagnostic	B_position	4000	1.0	4000	2	sales	4015	4000	4015	15	0.9963	0
diagnostic	B_position	4000	1.0	4000	3	billing	4015	4000	4015	15	0.9963	0
diagnostic	B_position	4000	1.0	4000	4	technical	4017	4000	4017	17	0.9958	0
diagnostic	B_position	4000	1.0	4000	5	sales	4014	4000	4014	14	0.9965	0
diagnostic	B_position	4000	1.0	4000	6	billing	4020	4000	4020	20	0.995	0
diagnostic	B_position	4000	1.0	4000	7	technical	4012	4000	4012	12	0.997	0
diagnostic	B_position	4000	1.0	4000	8	sales	4015	4000	4015	15	0.9963	0
diagnostic	B_position	4000	1.0	4000	9	billing	4022	4000	4022	22	0.9945	0
diagnostic	B_position	4000	1.0	4000	10	technical	4013	4000	4013	13	0.9968	0
diagnostic	B_position	4000	1.0	4000	11	billing	4021	4000	4021	21	0.9948	0
diagnostic	B_position	4000	1.0	4000	12	technical	4014	4000	4014	14	0.9965	0
diagnostic	B_position	4000	1.0	4000	13	billing	4015	4000	4015	15	0.9963	0
diagnostic	B_position	4000	1.0	4000	14	technical	4015	4000	4015	15	0.9963	0
diagnostic	B_position	4000	1.0	4000	15	sales	4012	4000	4012	12	0.997	0
diagnostic	B_position	4000	1.0	4000	16	billing	4025	4000	4025	25	0.9938	0
diagnostic	B_position	4000	1.0	4000	17	technical	4016	4000	4016	16	0.996	0
diagnostic	B_position	4000	1.0	4000	18	billing	4016	4000	4016	16	0.996	0
diagnostic	B_position	4000	1.0	4000	19	billing	4024	4000	4024	24	0.994	0
diagnostic	C_length	0	1.0	0	0	billing	18	0	18	18	0.0	0
diagnostic	C_length	0	1.0	0	1	technical	14	0	14	14	0.0	0
diagnostic	C_length	0	1.0	0	2	sales	15	0	15	15	0.0	0
diagnostic	C_length	0	1.0	0	3	billing	15	0	15	15	0.0	0
diagnostic	C_length	0	1.0	0	4	technical	17	0	17	17	0.0	0
diagnostic	C_length	0	1.0	0	5	sales	14	0	14	14	0.0	0
diagnostic	C_length	0	1.0	0	6	billing	20	0	20	20	0.0	0
diagnostic	C_length	0	1.0	0	7	technical	12	0	12	12	0.0	0
diagnostic	C_length	0	1.0	0	8	sales	15	0	15	15	0.0	0
diagnostic	C_length	0	1.0	0	9	billing	22	0	22	22	0.0	0
diagnostic	C_length	0	1.0	0	10	technical	13	0	13	13	0.0	0
diagnostic	C_length	0	1.0	0	11	billing	21	0	21	21	0.0	0
diagnostic	C_length	0	1.0	0	12	technical	14	0	14	14	0.0	0
diagnostic	C_length	0	1.0	0	13	billing	15	0	15	15	0.0	0
diagnostic	C_length	0	1.0	0	14	technical	15	0	15	15	0.0	0
diagnostic	C_length	0	1.0	0	15	sales	12	0	12	12	0.0	0
diagnostic	C_length	0	1.0	0	16	billing	25	0	25	25	0.0	0
diagnostic	C_length	0	1.0	0	17	technical	16	0	16	16	0.0	0
diagnostic	C_length	0	1.0	0	18	billing	16	0	16	16	0.0	0
diagnostic	C_length	0	1.0	0	19	billing	24	0	24	24	0.0	0
diagnostic	C_length	1000	1.0	1000	0	billing	1018	1000	1018	18	0.9823	0
